level	page_num	block_num	par_num	line_num	word_num	left	top	width	height	conf	text
1	1	0	0	0	0	0	0	842	1200	-1	
2	1	1	0	0	0	0	60	739	1119	-1	
3	1	1	1	0	0	0	60	739	1119	-1	
4	1	1	1	1	0	324	60	157	24	-1	
5	1	1	1	1	1	324	62	94	22	96.573372	Oktober
5	1	1	1	1	2	426	60	55	21	96.936928	2023
4	1	1	1	2	0	257	107	306	38	-1	
5	1	1	1	2	1	257	115	112	29	89.983971	Kwartel
5	1	1	1	2	2	383	137	3	8	89.983971	,
5	1	1	1	2	3	399	111	84	30	93.140404	witlof,
5	1	1	1	2	4	497	107	66	28	93.123863	druif
4	1	1	1	3	0	353	190	117	22	-1	
5	1	1	1	3	1	353	190	117	22	92.732513	Voorgerecht
4	1	1	1	4	0	92	231	643	31	-1	
5	1	1	1	4	1	92	256	112	6	33.364655	foo
5	1	1	1	4	2	178	236	40	31	28.740303	a
5	1	1	1	4	3	426	247	37	3	28.324509	Lo
5	1	1	1	4	4	469	231	266	16	44.294086	ee
4	1	1	1	5	0	87	238	648	59	-1	
5	1	1	1	5	1	87	261	102	36	48.547207	—
5	1	1	1	5	2	194	252	197	31	36.805084	____Ingrediénten
5	1	1	1	5	3	398	256	31	16	96.835114	voor
5	1	1	1	5	4	436	252	16	13	87.415619	40
5	1	1	1	5	5	459	251	68	18	89.586243	personen
5	1	1	1	5	6	621	256	40	3	63.407043	—
4	1	1	1	6	0	89	257	646	53	-1	
5	1	1	1	6	1	89	298	1	12	93.303078	|
5	1	1	1	6	2	97	294	57	6	7.713326	Kowartel,
5	1	1	1	6	3	333	267	67	32	79.004028	Garnituur;
5	1	1	1	6	4	519	258	64	31	69.284203	Dressing.
5	1	1	1	6	5	734	257	1	14	96.159630	|
4	1	1	1	7	0	90	281	567	49	-1	
5	1	1	1	7	1	90	315	1	15	92.488319	|
5	1	1	1	7	2	99	304	16	12	91.443207	10
5	1	1	1	7	3	120	301	58	14	90.855728	kwartels
5	1	1	1	7	4	325	288	1	20	88.088806	|
5	1	1	1	7	5	334	296	7	12	81.033936	5
5	1	1	1	7	6	347	294	61	15	81.033936	stronkjes
5	1	1	1	7	7	413	291	35	13	80.189262	witlof
5	1	1	1	7	8	510	283	1	35	92.371223	|
5	1	1	1	7	9	519	287	16	12	87.668640	50
5	1	1	1	7	10	540	287	34	14	85.431671	gram
5	1	1	1	7	11	580	283	41	15	70.088646	rijsten
5	1	1	1	7	12	627	281	30	13	39.131088	aziin
4	1	1	1	8	0	91	296	645	52	-1	
5	1	1	1	8	1	91	333	1	15	94.130905	|
5	1	1	1	8	2	100	323	44	14	93.306061	Peper,
5	1	1	1	8	3	150	320	30	12	93.208542	zout
5	1	1	1	8	4	185	318	48	16	85.877823	olijfolie
5	1	1	1	8	5	326	315	1	14	93.540840	|
5	1	1	1	8	6	335	314	16	12	93.260437	10
5	1	1	1	8	7	356	313	47	15	92.370216	plakjes
5	1	1	1	8	8	408	310	32	16	90.119385	spek
5	1	1	1	8	9	519	305	16	12	95.053299	50
5	1	1	1	8	10	540	305	35	14	96.533058	gram
5	1	1	1	8	11	581	303	27	13	94.611374	soja
5	1	1	1	8	12	614	296	54	15	75.302307	saus,50
5	1	1	1	8	13	673	297	63	13	59.316029	gram
4	1	1	1	9	0	101	311	635	44	-1	
5	1	1	1	9	1	101	341	5	12	85.153915	1
5	1	1	1	9	2	114	340	37	15	85.153915	bakje
5	1	1	1	9	3	155	338	30	13	96.236252	fond
5	1	1	1	9	4	191	337	17	13	91.474861	du
5	1	1	1	9	5	213	336	30	13	91.545448	chef
5	1	1	1	9	6	249	336	5	12	78.563354	1
5	1	1	1	9	7	261	335	37	15	47.641922	bakje
5	1	1	1	9	8	326	332	1	5	51.529697	|
5	1	1	1	9	9	335	333	8	12	93.281036	2
5	1	1	1	9	10	348	331	45	16	87.371857	appels
5	1	1	1	9	11	519	321	84	14	77.755585	zonnebloem
5	1	1	1	9	12	609	318	26	12	90.682098	olie,
5	1	1	1	9	13	642	316	40	15	80.284370	Peper
5	1	1	1	9	14	735	311	1	9	96.407890	|
4	1	1	1	10	0	101	329	635	52	-1	
5	1	1	1	10	1	101	350	38	31	97.001404	water
5	1	1	1	10	2	335	351	17	11	88.488419	40
5	1	1	1	10	3	357	350	50	12	79.047775	druiven
5	1	1	1	10	4	511	329	1	40	81.271484	|
5	1	1	1	10	5	735	338	1	7	96.499161	|
4	1	1	1	11	0	337	367	76	15	-1	
5	1	1	1	11	1	337	369	7	12	88.980347	2
5	1	1	1	11	2	350	367	63	15	57.502041	courgette
4	1	1	1	12	0	329	385	86	29	-1	
5	1	1	1	12	1	329	398	1	16	95.930809	|
5	1	1	1	12	2	338	388	43	13	93.304985	Peper,
5	1	1	1	12	3	387	385	28	12	92.884758	zout
4	1	1	1	13	0	98	452	80	15	-1	
5	1	1	1	13	1	98	452	80	15	84.305237	Werkwijze:
4	1	1	1	14	0	100	488	67	14	-1	
5	1	1	1	14	1	100	488	67	14	85.264519	kwartels;
4	1	1	1	15	0	127	499	230	20	-1	
5	1	1	1	15	1	127	507	44	12	58.250881	‘De
5	1	1	1	15	2	177	504	56	14	87.474586	kwartels
5	1	1	1	15	3	243	504	16	11	93.302994	uit
5	1	1	1	15	4	264	502	41	12	91.478531	elkaar
5	1	1	1	15	5	310	499	47	15	84.659378	snijden
4	1	1	1	16	0	128	510	402	30	-1	
5	1	1	1	16	1	128	532	5	6	12.284882	+
5	1	1	1	16	2	153	526	27	12	59.566784	Dus
5	1	1	1	16	3	186	525	49	15	75.980606	pootjes
5	1	1	1	16	4	240	521	27	13	92.410454	eraf
5	1	1	1	16	5	271	520	49	15	61.037174	dijbeen
