level	page_num	block_num	par_num	line_num	word_num	left	top	width	height	conf	text
5	1	22	1	1	1	101	360	38	11	96.903374	water
2	1	23	0	0	0	335	350	72	12	-1	
3	1	23	1	0	0	335	350	72	12	-1	
4	1	23	1	1	0	335	350	72	12	-1	
5	1	23	1	1	1	335	351	17	11	93.297478	40
5	1	23	1	1	2	357	350	50	12	92.696938	druiven
2	1	24	0	0	0	337	367	76	15	-1	
3	1	24	1	0	0	337	367	76	15	-1	
4	1	24	1	1	0	337	367	76	15	-1	
5	1	24	1	1	1	337	369	7	12	88.083038	2
5	1	24	1	1	2	350	367	63	15	87.759697	courgette
2	1	25	0	0	0	338	385	77	16	-1	
3	1	25	1	0	0	338	385	77	16	-1	
4	1	25	1	1	0	338	385	77	16	-1	
5	1	25	1	1	1	338	388	43	13	93.304985	Peper,
5	1	25	1	1	2	387	385	28	12	92.884758	zout
2	1	26	0	0	0	340	420	16	1	-1	
3	1	26	1	0	0	340	420	16	1	-1	
4	1	26	1	1	0	340	420	16	1	-1	
5	1	26	1	1	1	340	420	16	1	48.730904	te
2	1	27	0	0	0	98	452	80	15	-1	
3	1	27	1	0	0	98	452	80	15	-1	
4	1	27	1	1	0	98	452	80	15	-1	
5	1	27	1	1	1	98	452	80	15	87.047920	Werkwijze:
2	1	28	0	0	0	100	488	67	14	-1	
3	1	28	1	0	0	100	488	67	14	-1	
4	1	28	1	1	0	100	488	67	14	-1	
5	1	28	1	1	1	100	488	67	14	79.199661	kwartels;
2	1	29	0	0	0	153	499	175	20	-1	
3	1	29	1	0	0	153	499	175	20	-1	
4	1	29	1	1	0	153	499	175	20	-1	
5	1	29	1	1	1	153	507	18	12	93.221291	De
5	1	29	1	1	2	177	504	56	14	92.513077	kwartels
5	1	29	1	1	3	243	504	16	11	93.285309	uit
5	1	29	1	1	4	264	502	41	12	84.124451	elkaar
5	1	29	1	1	5	310	499	18	13	90.087112	sni
2	1	30	0	0	0	329	499	28	15	-1	
3	1	30	1	0	0	329	499	28	15	-1	
4	1	30	1	1	0	329	499	28	15	-1	
5	1	30	1	1	1	329	499	28	15	52.779942	jiden
2	1	31	0	0	0	153	525	95	15	-1	
3	1	31	1	0	0	153	525	95	15	-1	
4	1	31	1	1	0	153	525	95	15	-1	
5	1	31	1	1	1	153	526	27	12	93.305351	Dus
5	1	31	1	1	2	186	525	49	15	44.377541	pootjes
5	1	31	1	1	3	240	525	8	9	82.421509	ef
2	1	32	0	0	0	249	516	151	19	-1	
3	1	32	1	0	0	249	516	151	19	-1	
4	1	32	1	1	0	249	516	151	19	-1	
5	1	32	1	1	1	249	521	18	12	81.379662	raf
5	1	32	1	1	2	271	520	49	15	66.730072	dijbeen
5	1	32	1	1	3	325	517	29	13	91.965759	eruit
5	1	32	1	1	4	359	516	41	12	0.000000	draaie!
2	1	33	0	0	0	401	510	129	16	-1	
3	1	33	1	0	0	401	510	129	16	-1	
4	1	33	1	1	0	401	510	129	16	-1	
5	1	33	1	1	1	401	517	7	9	31.926529	yn
5	1	33	1	1	2	414	516	10	9	90.252403	in
5	1	33	1	1	3	430	514	31	10	93.278244	mooi
5	1	33	1	1	4	467	510	63	12	59.913635	invouwen
2	1	34	0	0	0	327	532	132	16	-1	
3	1	34	1	0	0	327	532	132	16	-1	
4	1	34	1	1	0	327	532	132	16	-1	
5	1	34	1	1	1	327	537	11	11	60.314568	/el
5	1	34	1	1	2	343	537	38	11	60.314568	eraan
5	1	34	1	1	3	387	534	31	11	81.021179	laten
5	1	34	1	1	4	423	532	36	11	53.052643	zitten.
2	1	35	0	0	0	154	539	172	18	-1	
3	1	35	1	0	0	154	539	172	18	-1	
4	1	35	1	1	0	154	539	172	18	-1	
5	1	35	1	1	1	154	545	36	12	93.264198	Borst
5	1	35	1	1	2	194	543	36	12	67.597862	/filets
5	1	35	1	1	3	235	540	27	13	92.984451	eraf
5	1	35	1	1	4	267	539	47	15	87.550079	snijden
5	1	35	1	1	5	319	540	7	8	50.399151	v
2	1	36	0	0	0	332	547	212	20	-1	
3	1	36	1	0	0	332	547	212	20	-1	
4	1	36	1	1	0	332	547	212	20	-1	
5	1	36	1	1	1	332	558	16	9	87.428139	‘en
5	1	36	1	1	2	353	554	45	12	91.908676	zouten
5	1	36	1	1	3	403	554	16	9	96.927414	en
5	1	36	1	1	4	424	550	25	12	93.268982	met
5	1	36	1	1	5	454	548	45	15	53.000221	olijfolie
5	1	36	1	1	6	504	547	40	11	36.015114	insme"
2	1	37	0	0	0	545	546	21	10	-1	
3	1	37	1	0	0	545	546	21	10	-1	
4	1	37	1	1	0	545	546	21	10	-1	
5	1	37	1	1	1	545	546	21	10	87.997406	ren.
2	1	38	0	0	0	155	559	171	17	-1	
3	1	38	1	0	0	155	559	171	17	-1	
4	1	38	1	1	0	155	559	171	17	-1	
5	1	38	1	1	1	155	563	35	13	96.775597	Borst
5	1	38	1	1	2	195	565	16	9	93.231941	en
5	1	38	1	1	3	217	561	49	15	81.042419	pootjes
5	1	38	1	1	4	272	559	54	14	92.729286	peperen
2	1	39	0	0	0	618	554	121	17	-1	
3	1	39	1	0	0	618	554	121	17	-1	
4	1	39	1	1	0	618	554	121	17	-1	
5	1	39	1	1	1	618	560	2	11	49.270988	|
5	1	39	1	1	2	626	557	73	13	87.412033	omdraaien.
5	1	39	1	1	3	709	554	30	15	94.459885	(dan
2	1	40	0	0	0	156	577	178	20	-1	
3	1	40	1	0	0	156	577	178	20	-1	
4	1	40	1	1	0	156	577	178	20	-1	
5	1	40	1	1	1	156	583	55	14	85.346542	Borstjes
5	1	40	1	1	2	216	583	11	9	96.723480	in
5	1	40	1	1	3	232	581	25	10	93.303680	een
5	1	40	1	1	4	263	578	29	12	92.856079	hete
5	1	40	1	1	5	297	578	25	13	93.275299	pan
5	1	40	1	1	6	327	577	7	9	82.156219	o
2	1	41	0	0	0	335	561	282	28	-1	
3	1	41	1	0	0	335	561	282	28	-1	
4	1	41	1	1	0	335	561	282	28	-1	
5	1	41	1	1	1	335	577	7	12	57.006207	p
5	1	41	1	1	2	348	574	16	11	93.102806	de
5	1	41	1	1	3	369	571	47	13	93.102707	velkant
5	1	41	1	1	4	422	568	48	13	90.330635	krokant
5	1	41	1	1	5	475	566	48	12	87.083694	bakken
5	1	41	1	1	6	529	566	16	9	79.923149	en
5	1	41	1	1	7	550	563	15	11	75.154373	let
5	1	41	1	1	8	571	564	16	12	96.858330	op
5	1	41	1	1	9	590	554	5	28	93.729340	1
5	1	41	1	1	10	605	561	12	10	94.063683	tel
2	1	42	0	0	0	156	597	135	18	-1	
3	1	42	1	0	0	156	597	135	18	-1	
4	1	42	1	1	0	156	597	135	18	-1	
5	1	42	1	1	1	156	604	16	11	96.175827	op
5	1	42	1	1	2	177	602	25	10	93.219368	een
5	1	42	1	1	3	208	598	33	14	80.277580	rekje
5	1	42	1	1	4	246	597	45	13	71.241974	leggen)
2	1	43	0	0	0	292	594	4	15	-1	
3	1	43	1	0	0	292	594	4	15	-1	
4	1	43	1	1	0	292	594	4	15	-1	
5	1	43	1	1	1	292	594	4	15	85.032211	)
2	1	44	0	0	0	192	614	95	16	-1	
3	1	44	1	0	0	192	614	95	16	-1	
4	1	44	1	1	0	192	614	95	16	-1	
5	1	44	1	1	1	192	621	16	9	87.099335	ies
5	1	44	1	1	2	213	620	11	9	93.204544	in
5	1	44	1	1	3	229	614	58	14	91.167351	dezelfde
2	1	45	0	0	0	292	608	116	18	-1	
3	1	45	1	0	0	292	608	116	18	-1	
4	1	45	1	1	0	292	608	116	18	-1	
5	1	45	1	1	1	292	613	29	11	90.577980	hete
5	1	45	1	1	2	326	613	24	13	96.824028	pan
5	1	45	1	1	3	355	609	9	12	81.317352	ff
5	1	45	1	1	4	369	608	39	12	81.317352	bakker
2	1	46	0	0	0	409	599	186	19	-1	
3	1	46	1	0	0	409	599	186	19	-1	
4	1	46	1	1	0	409	599	186	19	-1	
5	1	46	1	1	1	409	608	28	10	0.000000	nen
5	1	46	1	1	2	442	605	25	11	96.874413	dan
5	1	46	1	1	3	472	606	11	9	93.305763	in
5	1	46	1	1	4	488	601	57	14	91.489304	steelpan
5	1	46	1	1	5	550	599	45	14	90.497055	leggen
2	1	47	0	0	0	157	619	33	14	-1	
3	1	47	1	0	0	157	619	33	14	-1	
4	1	47	1	1	0	157	619	33	14	-1	
5	1	47	1	1	1	157	619	33	14	40.414062	Poot}
2	1	48	0	0	0	398	621	134	16	-1	
3	1	48	1	0	0	398	621	134	16	-1	
4	1	48	1	1	0	398	621	134	16	-1	
5	1	48	1	1	1	398	626	37	11	96.925468	water
5	1	48	1	1	2	440	626	24	9	92.931389	een
5	1	48	1	1	3	469	622	31	14	86.209946	takje
5	1	48	1	1	4	505	621	27	14	33.460342	tim.
2	1	49	0	0	0	534	616	77	15	-1	
3	1	49	1	0	0	534	616	77	15	-1	
4	1	49	1	1	0	534	616	77	15	-1	
5	1	49	1	1	1	534	618	12	13	92.428360	of
5	1	49	1	1	2	551	616	60	14	92.587257	calvados
2	1	50	0	0	0	157	635	85	17	-1	
3	1	50	1	0	0	157	635	85	17	-1	
4	1	50	1	1	0	157	635	85	17	-1	
5	1	50	1	1	1	157	638	51	14	88.113144	Pootjes
5	1	50	1	1	2	213	635	29	13	0.000000	verd'
2	1	51	0	0	0	243	628	150	20	-1	
3	1	51	1	0	0	243	628	150	20	-1	
4	1	51	1	1	0	243	628	150	20	-1	
5	1	51	1	1	1	243	637	14	9	58.718243	fer
5	1	51	1	1	2	262	634	38	14	91.875671	garen
5	1	51	1	1	3	305	631	25	11	91.875671	met
5	1	51	1	1	4	334	628	29	13	91.851952	fond
5	1	51	1	1	5	370	638	1	3	91.506470	,
5	1	51	1	1	6	377	630	16	9	92.105019	en
2	1	52	0	0	0	107	676	72	16	-1	
3	1	52	1	0	0	107	676	72	16	-1	
4	1	52	1	1	0	107	676	72	16	-1	
5	1	52	1	1	1	107	676	72	16	88.999786	garnituur;
2	1	53	0	0	0	133	699	5	6	-1	
3	1	53	1	0	0	133	699	5	6	-1	
4	1	53	1	1	0	133	699	5	6	-1	
5	1	53	1	1	1	133	699	5	6	0.000000	.
2	1	54	0	0	0	225	682	197	20	-1	
3	1	54	1	0	0	225	682	197	20	-1	
4	1	54	1	1	0	225	682	197	20	-1	
5	1	54	1	1	1	225	687	79	15	92.929161	doorsnijden
5	1	54	1	1	2	309	687	16	10	96.532318	en
5	1	54	1	1	3	330	684	21	12	93.162544	het
5	1	54	1	1	4	356	684	38	13	84.080368	groen
5	1	54	1	1	5	399	682	23	10	96.087570	van
2	1	55	0	0	0	427	669	214	22	-1	
3	1	55	1	0	0	427	669	214	22	-1	
4	1	55	1	1	0	427	669	214	22	-1	
5	1	55	1	1	1	427	678	17	13	84.418472	de
5	1	55	1	1	2	453	675	63	16	84.418472	courgette
5	1	55	1	1	3	521	677	10	9	86.502213	in
5	1	55	1	1	4	537	674	50	13	69.109329	reepjes
5	1	55	1	1	5	592	669	49	15	91.946564	snijden.
2	1	56	0	0	0	158	694	53	12	-1	
3	1	56	1	0	0	158	694	53	12	-1	
4	1	56	1	1	0	158	694	53	12	-1	
5	1	56	1	1	1	158	694	53	12	92.631012	Druiven
2	1	57	0	0	0	288	696	184	21	-1	
3	1	57	1	0	0	288	696	184	21	-1	
4	1	57	1	1	0	288	696	184	21	-1	
5	1	57	1	1	1	288	705	24	12	92.936714	met
5	1	57	1	1	2	317	702	29	13	92.382011	schil
5	1	57	1	1	3	352	702	11	11	96.377357	in
5	1	57	1	1	4	367	700	52	16	84.995598	julienne
5	1	57	1	1	5	425	696	47	16	67.591049	snijden
2	1	58	0	0	0	133	718	6	6	-1	
3	1	58	1	0	0	133	718	6	6	-1	
4	1	58	1	1	0	133	718	6	6	-1	
5	1	58	1	1	1	133	718	6	6	64.536865	.
2	1	59	0	0	0	158	706	124	18	-1	
3	1	59	1	0	0	158	706	124	18	-1	
4	1	59	1	1	0	158	706	124	18	-1	
5	1	59	1	1	1	158	711	39	13	78.745148	Witlof
5	1	59	1	1	2	202	712	16	10	91.658501	en
5	1	59	1	1	3	223	709	17	12	91.658501	de
5	1	59	1	1	4	245	706	37	16	87.480400	appel
2	1	60	0	0	0	409	714	85	16	-1	
3	1	60	1	0	0	409	714	85	16	-1	
4	1	60	1	1	0	409	714	85	16	-1	
5	1	60	1	1	1	409	718	11	11	65.374451	ut
5	1	60	1	1	2	425	716	41	14	26.677032	beetje
5	1	60	1	1	3	471	714	23	12	88.306969	olie.
2	1	61	0	0	0	133	737	6	6	-1	
3	1	61	1	0	0	133	737	6	6	-1	
4	1	61	1	1	0	133	737	6	6	-1	
5	1	61	1	1	1	133	737	6	6	64.061508	.
2	1	62	0	0	0	159	726	125	18	-1	
3	1	62	1	0	0	159	726	125	18	-1	
4	1	62	1	1	0	159	726	125	18	-1	
5	1	62	1	1	1	159	731	18	12	96.542770	Dit
5	1	62	1	1	2	182	733	17	11	93.279747	op
5	1	62	1	1	3	204	727	45	13	92.140877	smaak
5	1	62	1	1	4	254	726	30	11	40.530342	bren.
2	1	63	0	0	0	285	721	122	18	-1	
3	1	63	1	0	0	285	721	122	18	-1	
4	1	63	1	1	0	285	721	122	18	-1	
5	1	63	1	1	1	285	726	25	13	52.600800	gen
5	1	63	1	1	2	315	722	25	12	92.371140	met
5	1	63	1	1	3	345	722	38	13	90.233566	peper
5	1	63	1	1	4	389	721	18	11	83.741089	20
2	1	64	0	0	0	536	724	160	17	-1	
3	1	64	1	0	0	536	724	160	17	-1	
4	1	64	1	1	0	536	724	160	17	-1	
5	1	64	1	1	1	536	729	17	12	93.917030	de
5	1	64	1	1	2	558	730	32	10	93.917030	oven
5	1	64	1	1	3	596	729	16	12	96.193535	op
5	1	64	1	1	4	618	725	25	13	93.304535	130
5	1	64	1	1	5	648	724	48	16	69.026772	graden.
2	1	65	0	0	0	134	756	6	6	-1	
3	1	65	1	0	0	134	756	6	6	-1	
4	1	65	1	1	0	134	756	6	6	-1	
5	1	65	1	1	1	134	756	6	6	63.152775	.
2	1	66	0	0	0	159	741	188	23	-1	
3	1	66	1	0	0	159	741	188	23	-1	
4	1	66	1	1	0	159	741	188	23	-1	
5	1	66	1	1	1	159	749	35	15	96.021355	Spek
5	1	66	1	1	2	199	750	11	10	96.641899	in
5	1	66	1	1	3	216	747	7	12	92.449745	3
5	1	66	1	1	4	229	745	52	13	70.841370	stukken
5	1	66	1	1	5	287	741	47	16	87.834267	snijden
5	1	66	1	1	6	339	743	8	8	25.590332	e
2	1	67	0	0	0	348	733	183	18	-1	
3	1	67	1	0	0	348	733	183	18	-1	
4	1	67	1	1	0	348	733	183	18	-1	
5	1	67	1	1	1	348	742	7	9	11.821510	n
5	1	67	1	1	2	360	740	44	10	74.539146	tussen
5	1	67	1	1	3	410	735	23	13	96.889854	bak
5	1	67	1	1	4	439	734	24	12	90.857895	mat
5	1	67	1	1	5	468	733	46	14	90.857895	drogen
5	1	67	1	1	6	520	733	11	9	95.849182	in
2	1	68	0	0	0	109	784	124	19	-1	
3	1	68	1	0	0	109	784	124	19	-1	
4	1	68	1	1	0	109	784	124	19	-1	
5	1	68	1	1	1	109	788	32	15	94.997932	Soja
5	1	68	1	1	2	146	784	78	15	92.957397	vinaigrette
5	1	68	1	1	3	230	785	3	8	63.510429	:
2	1	69	0	0	0	560	780	161	16	-1	
3	1	69	1	0	0	560	780	161	16	-1	
4	1	69	1	1	0	560	780	161	16	-1	
5	1	69	1	1	1	560	786	20	10	33.402031	.em
5	1	69	1	1	2	586	782	23	12	75.702339	olie
5	1	69	1	1	3	615	782	62	14	92.684418	oproeren
5	1	69	1	1	4	682	781	17	9	96.561340	en
5	1	69	1	1	5	704	780	17	12	89.697037	op
2	1	70	0	0	0	135	811	6	6	-1	
3	1	70	1	0	0	135	811	6	6	-1	
4	1	70	1	1	0	135	811	6	6	-1	
5	1	70	1	1	1	135	811	6	6	61.005169	.
2	1	71	0	0	0	161	800	99	19	-1	
3	1	71	1	0	0	161	800	99	19	-1	
4	1	71	1	1	0	161	800	99	19	-1	
5	1	71	1	1	1	161	805	16	12	56.744118	80
5	1	71	1	1	2	182	806	13	13	72.197975	gr
5	1	71	1	1	3	201	802	23	16	91.796318	rijst
5	1	71	1	1	4	229	800	31	15	91.212288	aziin
2	1	72	0	0	0	265	784	294	27	-1	
3	1	72	1	0	0	265	784	294	27	-1	
4	1	72	1	1	0	265	784	294	27	-1	
5	1	72	1	1	1	265	798	25	13	95.575996	met
5	1	72	1	1	2	295	797	17	12	95.850677	de
5	1	72	1	1	3	317	795	16	13	96.570740	50
5	1	72	1	1	4	338	797	13	13	93.301735	gr
5	1	72	1	1	5	356	794	59	14	92.406761	sojasaus
5	1	72	1	1	6	420	793	16	9	96.415871	en
5	1	72	1	1	7	441	789	17	12	88.795059	de
5	1	72	1	1	8	463	788	30	14	88.795059	50gr
5	1	72	1	1	9	497	784	62	15	26.677460	zonneblor
2	1	73	0	0	0	161	817	151	18	-1	
3	1	73	1	0	0	161	817	151	18	-1	
4	1	73	1	1	0	161	817	151	18	-1	
5	1	73	1	1	1	161	821	45	14	91.813217	smaak
5	1	73	1	1	2	211	820	56	13	93.011749	brengen
5	1	73	1	1	3	273	817	39	15	85.178757	peper
2	1	74	0	0	0	316	811	63	17	-1	
3	1	74	1	0	0	316	811	63	17	-1	
4	1	74	1	1	0	316	811	63	17	-1	
5	1	74	1	1	1	316	813	22	15	80.532951	en(
5	1	74	1	1	2	342	811	37	15	84.749237	zout).
2	1	75	0	0	0	112	861	83	14	-1	
3	1	75	1	0	0	112	861	83	14	-1	
4	1	75	1	1	0	112	861	83	14	-1	
5	1	75	1	1	1	112	861	83	14	93.187752	Doorgeven:
2	1	76	0	0	0	353	861	158	18	-1	
3	1	76	1	0	0	353	861	158	18	-1	
4	1	76	1	1	0	353	861	158	18	-1	
5	1	76	1	1	1	353	867	17	12	93.287132	de
5	1	76	1	1	2	375	865	44	13	91.608864	salade
5	1	76	1	1	3	424	867	11	9	90.890373	in
5	1	76	1	1	4	440	865	25	10	90.890373	een
5	1	76	1	1	5	470	861	41	12	53.941124	steker
2	1	77	0	0	0	163	876	71	14	-1	
3	1	77	1	0	0	163	876	71	14	-1	
4	1	77	1	1	0	163	876	71	14	-1	
5	1	77	1	1	1	163	878	18	12	96.624161	De
5	1	77	1	1	2	186	876	48	13	96.443794	borden
2	1	78	0	0	0	239	870	109	16	-1	
3	1	78	1	0	0	239	870	109	16	-1	
4	1	78	1	1	0	239	870	109	16	-1	
5	1	78	1	1	1	239	874	16	12	93.283546	uit
5	1	78	1	1	2	260	872	41	12	65.846207	zetten
5	1	78	1	1	3	307	870	41	13	91.473488	hierop
2	1	79	0	0	0	356	876	254	22	-1	
3	1	79	1	0	0	356	876	254	22	-1	
4	1	79	1	1	0	356	876	254	22	-1	
5	1	79	1	1	1	356	886	25	12	86.824661	‘den
5	1	79	1	1	2	387	888	10	9	96.643967	in
5	1	79	1	1	3	402	884	17	12	96.643967	de
5	1	79	1	1	4	424	885	32	10	96.934616	oven
5	1	79	1	1	5	461	881	16	12	90.290527	let
5	1	79	1	1	6	482	883	16	12	96.945343	op
5	1	79	1	1	7	503	879	16	12	93.296936	de
5	1	79	1	1	8	524	876	59	17	91.922684	gaarheid
5	1	79	1	1	9	590	877	20	13	66.115021	,po
2	1	80	0	0	0	611	872	95	17	-1	
3	1	80	1	0	0	611	872	95	17	-1	
4	1	80	1	1	0	611	872	95	17	-1	
5	1	80	1	1	1	611	874	32	15	0.000000	otjes
5	1	80	1	1	2	649	875	10	9	95.555145	in
5	1	80	1	1	3	665	872	16	11	95.436829	de
5	1	80	1	1	4	685	873	21	13	95.436829	jus
2	1	81	0	0	0	163	888	192	22	-1	
3	1	81	1	0	0	163	888	192	22	-1	
4	1	81	1	1	0	163	888	192	22	-1	
5	1	81	1	1	1	163	896	55	14	84.150940	Borstjes
5	1	81	1	1	2	223	893	76	12	41.272968	verwarmen
5	1	81	1	1	3	305	888	24	13	95.666176	110
5	1	81	1	1	4	334	890	21	12	60.457161	grat
2	1	82	0	0	0	163	914	80	12	-1	
3	1	82	1	0	0	163	914	80	12	-1	
4	1	82	1	1	0	163	914	80	12	-1	
5	1	82	1	1	1	163	914	80	12	87.551788	verwarmen.
2	1	83	0	0	0	164	927	157	18	-1	
3	1	83	1	0	0	164	927	157	18	-1	
4	1	83	1	1	0	164	927	157	18	-1	
5	1	83	1	1	1	164	933	28	12	93.275955	Hier
5	1	83	1	1	2	196	933	45	11	92.161064	tussen
5	1	83	1	1	3	246	929	17	12	93.304840	de
5	1	83	1	1	4	268	927	53	14	88.114113	borstjes
2	1	84	0	0	0	326	916	199	23	-1	
3	1	84	1	0	0	326	916	199	23	-1	
4	1	84	1	1	0	326	916	199	23	-1	
5	1	84	1	1	1	326	925	16	12	93.305481	de
5	1	84	1	1	2	348	923	48	16	79.969193	pootjes
5	1	84	1	1	3	402	924	16	9	96.385735	en
5	1	84	1	1	4	423	920	16	12	92.711708	de
5	1	84	1	1	5	444	918	32	15	92.132782	spek
5	1	84	1	1	6	481	916	44	13	37.522717	steken
2	1	85	0	0	0	361	935	170	21	-1	
3	1	85	1	0	0	361	935	170	21	-1	
4	1	85	1	1	0	361	935	170	21	-1	
5	1	85	1	1	1	361	942	16	12	85.758537	de
5	1	85	1	1	2	382	940	28	16	95.886406	soja
5	1	85	1	1	3	415	939	57	13	96.895676	dressing
